"post_type","post_title","notes"
"match","November 17, 2010  W  1-0  South Africa      "," 52000  Cape Town, South Africa   Agudelo (65)"
"match","October 12, 2010  D  0-0  Columbia          ","  8823  Chester, PA, USA"
"match","October 09, 2010  D  2-2  Poland            "," 31696  Chicago, IL, USA   Altidore (13), Onyewu (52)"
"match","August 10, 2010  L  0-2  Brazil            "," 77223  East Rutherford, NJ, USA"
"match","June 26, 2010  L  1-2  Ghana             "," 34976  Rustenburg, South Africa (WC’10)   Donovan (62)"
"match","June 23, 2010  W  1-0  Algeria           "," 35827  Pretoria, South Africa (WC’10)   Donovan (91)"
"match","June 18, 2010  D  2-2  Slovenia          "," 45573  Johannesburg, South Africa (WC’10)   Donovan (48), Bradley (82)"
"match","June 12, 2010  D  1-1  England           "," 38646  Rustenburg, South Africa (WC’10)   Dempsey (40)"
"match","June 05, 2010  W  3-1  Australia         ","  6000  Roodespoort, South Africa   Buddle (4, 31), Gomez (93)"
"match","May 29, 2010  W  2-1  Turkey            "," 55407  Philadelphia, PA, USA   Altidore (58), Dempsey (75)"
"match","May 25, 2010  L  4-2  Czech Republic    "," 36218  East Hartford, CT, USA   Edu (17), Gomez (65)"
"match","March 03, 2010  L  1-2  Netherlands       "," 46630  Amsterdam, Neth.   Bocanegra (88)"
"match","February 24, 2010  W  2-1  El Salvador       "," 21737  Tampa, FL, USA   Ching (75), Cljestan (92)"
"match","January 23, 2010  L  1-3  Honduras          "," 18626  Carson, CA, USA   Goodson (70)"
"match","November 18, 2009  L  1-3  Denmark           "," 15172  Aarhus, Denmark   Cunningham (26)"
"match","November 14, 2009  L  0-1  Slovakia          ","  7200  Bratislava, Slovakia"
"match","October 14, 2009  D  2-2  Costa Rica        "," 26243  Washington, DC, USA (WCQ’10)   Bradley, Bornstein"
"match","October 10, 2009  W  3-2  Honduras          "," 37000  San Pedro Sula, Honduras (WCQ’10)   Casey (2), Donovan"
"match","September 09, 2009  W  1-0  Trinidad & Tobago ","        Port of Spain, Trinidad (WCQ’10)   Clark (62)"
"match","September 05, 2009  W  2-1  El Salvador       "," 19066  Sandy, UT, USA (WCQ’10)   Dempsey (41), Altidore (45 2)"
"match","August 12, 2009  L  1-2  Mexico            ","110000  Mexico City, MX (WCQ’10 )   Davies (9)"
"match","July 26, 2009  L  0-5  Mexico            "," 79156  East Rutherford, NJ, USA (GC’10)"
"match","July 23, 2009  W  2-0  Honduras          "," 55173  Chicago, IL, USA (GC’10)   Goodson (45), Cooper (90)"
"match","July 18, 2009  W  2-1  Panama            "," 31087  Philadelphia, PA, USA (GC’10)   Beckerman (49), Cooper (105 -PK)"
"match","July 11, 2009  D  2-2  Haiti             "," 24137  Foxboro, MA, USA (GC’10)   Arnaud (6), Holden (92)"
"match","July 08, 2009  W  2-0  Honduras          "," 26079  Washington, DC, USA (GC’10)   Quaranta (75), Ching (79)"
"match","July 04, 2009  W  4-0  Grenada           "," 15387  Seattle, WA, USA (GC’10)   Adu (7), Holden (31), Rogers (60), Davies (68)"
"match","June 28, 2009  L  2-3  Brazil            "," 52291  Johannesburg, South Africa (CC’10)   Dempsey (10), Donovan (74)"
"match","June 24, 2009  W  2-0  Spain             "," 35396  Bloemfontein, South Africa (CC’10)   Altidore (27), Dempsey (74)"
"match","June 21, 2009  W  3-0  Egypt             "," 23140  Rustenburg, South Africa (CC’10)   Davies (21), Bradley (63), Dempsey (71)"
"match","June 18, 2009  L  0-3  Brazil            "," 39617  Pretoria, South Africa (CC’10)"
"match","June 15, 2009  L  1-3  Italy             "," 34341  Pretoria, South Africa (CC’10)   Donovan (41-PK)"
"match","June 06, 2009  W  2-1  Honduras          "," 55647  Chicago, IL, USA (WCQ’10)   Donovan (43-PK), Bocanegra (68)"
"match","June 03, 2009  L  1-3  Costa Rica        "," 19200  San Jose, Costa Rica (WCQ’10)   Donovan (92-PK)"
"match","April 01, 2009  W  3-0  Trinidad & Tobago "," 27969  Nashville, TN, USA (WCQ’10)   Altidore (13,71,89)"
"match","March 28, 2009  D  2-2  El Salvador       "," 30500  San Salvador, El Salvador (WCQ’10)   Altidore (77), Hedjuk (88)"
"match","February 11, 2009  W  2-0  Mexico            "," 23776  Columbus, OH, USA (WCQ’10)   Bradley (43,92 )"
"match","January 24, 2009  W  3-2  Sweden            ","  9918  Carson, CA, USA   Kljestan (40, 74-PK,89)"
"match","November 19, 2008  W  2-0  Guatemala         ","  9303  Washington, DC, USA (WCQ’10)   Cooper (54), Adu (69)"
"match","October 15, 2008  L  1-2  Trinidad & Tobago "," 18000  Port of Spain, Trinidad (WCQ’10)   Davies (75)"
"match","October 11, 2008  W  6-1  Cuba              "," 20293  Commerce City, CO, USA (WCQ’10)   Beasley (10,30), Donovan (48), Ching (63), Altidore (87),    Onyewu (90)"
"match","September 10, 2008  W  3-0  Trinidad & Tobago "," 11452  Bridgeview, IL, USA (WCQ’10)   Bradley (9), Dempsey (18), Ching (57)"
"match","September 06, 2008  W  1-0  Cuba              ","        Havana, Cuba (WCQ’10)   Dempsey (40)"
"match","August 20, 2008  W  1-0  Guatemala         "," 25000  Guatemala City, Guatemala (WCQ’10)   Bocanegra (68)"
"match","June 22, 2008  W  1-0  Barbados          ","  2000  Bridgetown, Barbados (WCQ ’10)   Lewis (21)"
"match","June 15, 2008  W  8-0  Barbados          "," 11476  Carson, CA, USA (WCQ’10)   Dempsey (1,63), Bradley (12), Ching (20,89), Donovan (59),    Johnson (82), o.g. (86)"
"match","June 08, 2008  D  0-0  Argentina         "," 78682  East Rutherford, NJ, USA"
"match","June 04, 2008  L  0-1  Spain             "," 14232  Santander, Spain"
"match","May 28, 2008  L  0-2  England           "," 71233  London, England"
"match","March 26, 2008  W  3-0  Poland            "," 20000  Krakow, Poland   Bocanegra (12), Onyewu (350, Lewis (63)"
"match","February 06, 2008  D  2-2  Mexico            "," 70103  Houston, TX   Onyewu (30), Altidore (40)"
"match","January 19, 2008  W  2-0  Sweden            "," 14878  Carson, CA   Robinson (15), Donovan (PK-48)"
"match","November 17, 2007  W  1-0  South Africa      "," 30000  Johannesburg, South Africa’   Cherundolo (27)"
"match","October 17, 2007  W  1-0  Switzerland       "," 16500  Basel, Switzerland   Bradley (86)"
"match","September 09, 2007  L  2-4  Brazil            "," 43543  Chicago, IL   Bocanegra (21), Dempsey (73)"
"match","August 22, 2007  L  0-1  Sweden            "," 20648  Goteborg, Sweden"
"match","July 05, 2007  L  0-1  Colombia          "," 35000  Barquisimeto, Venezuela (CA’07)"
"match","July 02, 2007  L  1-3  Paraguay          "," 25000  Barinas, Venezuela (CA’07)   Clark (40)"
"match","June 28, 2007  L  1-4  Argentina         "," 37000  Maracaibo, Venezuela (CA’07)   Johnson (PK-9)"
"match","June 24, 2007  W  2-1  Mexico            "," 60000  Chicago, IL (GC’07)   Donovan (PK-62), Feihaber (73)"
"match","June 21, 2007  W  2-1  Canada            "," 50760  Chicago, IL (GC’07)   Hedjuk (39), Donovan (45)"
"match","June 16, 2007  W  2-1  Panama            "," 22412  Foxboro, MA (GC’07)   Donovan (PK-60), Bocanegra (82)"
"match","June 12, 2007  W  4-0  El Salvador       "," 26512  Foxboro, MA (GC’07)   Beasley (34, 89), Donovan (49), Twellman (73)"
"match","June 09, 2007  W  2-0  Trinidad & Tobago "," 27000  Carson, CA (GC’07)   Ching (29), Johnson (54)"
"match","June 07, 2007  W  1-0  Guatemala         "," 21334  Carson, CA (GC’07)   Dempsey (26)"
"match","June 02, 2007  W  4-1  China             "," 20821  San Jose, CA   Beasley (PK-10), Feihaber (28), Dempsey (75), Onyewu (79)"
"match","March 28, 2007  D  0-0  Guatemala         "," 10932  Frisco, TX"
"match","March 25, 2007  W  3-1  Ecuador           "," 31547  Tampa, FL   Donovan (1, 66, 67)"
"match","February 07, 2007  W  2-0  Mexico            "," 62462  Glendale, AZ   Conrad (52), Donovan (90)"
"match","January 20, 2007  W  3-1  Denmark           "," 10048  Carson, CA   Donovan (PK-44), Bornstein (57), Cooper (80)"
"match","June 22, 2006  L  1-2  Ghana             "," 41000  Nuremberg, Germany (WC’06)   Dempsey (43)"
"match","June 17, 2006  D  1-1  Italy             "," 46000  Kaiserslautern, Germany (WC’06)   (O.G.)"
"match","June 12, 2006  L  0-3  Czech Republic    "," 52000  Gelsenkirchen, Germany (WC’06)"
"match","May 28, 2006  W  1-0  Latvia            "," 24646  East Hartford, CT   McBride (43)"
"match","May 26, 2006  W  2-0  Venezuela         "," 29745  Cleveland, OH   Ching (36), Dempsey (69)"
"match","May 23, 2006  L  0-1  Morocco           "," 26141  Nashville, TN"
"match","April 11, 2006  D  1-1  Jamaica           ","  8093  Cary, NC   Olsen (25)"
"match","March 22, 2006  L  1-4  Germany           "," 64500  Dortmund, Germany   Cherundolo (85)"
"match","March 01, 2006  W  1-0  Poland            "," 13395  Kaiserslautern, Germany   Dempsey (48)"
"match","February 19, 2006  W  4-0  Guatemala         "," 14453  Frisco, TX   Olsen (38), Ching (45), Johnson (47), Klein (71)"
"match","February 10, 2006  W  3-2  Japan             "," 37365  San Francisco, CA, USA   Pope (24), Dempsey (39), Twellman (50)"
"match","January 29, 2006  W  5-0  Norway            "," 16366  Carson, CA, USA   Twellman (5, 17, 76), Pope (67), Klein (87)"
"match","January 22, 2006  D  0-0  Canada            ","  6077  San Diego, CA, USA"
"match","November 12, 2005  D  1-1  Scotland          "," 26708  Glasgow, Scotland   Wolff (9-pk)"
"match","October 12, 2005  W  2-0  Panama            ","  9192  Foxboro, MA, USA (WCQ’06)   Martino (51), Twellman (57) "
"match","October 08, 2005  L  0-3  Costa Rica        "," 30000  San Jose, Costa Rica (WCQ’06)"
"match","September 07, 2005  D  0-0  Guatemala         "," 24000  Guatemala City, Guatemala (WCQ’06)"
"match","September 03, 2005  W  2-0  Mexico            "," 24685  Columbus, OH, USA (WCQ’06)   Ralston (53), Beasley (56)"
"match","August 17, 2005  W  1-0  Trinidad & Tobago "," 25488  East Hartford, CT, USA (WCQ’06)   McBride (2)"
"match","July 24, 2005  W  0-0  Panama            "," 31018  East Rutherford, NJ, USA (G.C. ’05)   (W 3-1 PK)"
"match","July 21, 2005  W  2-1  Honduras          "," 41721  East Rutherford, NJ, USA (G.C. ‘05)   John O'Brien (86), Oguchi Onyewu (92 )"
"match","July 16, 2005  W  3-1  Jamaica           "," 22108  Foxboro, MA, USA (Gold Cup ’05)   Josh Wolff (6), DaMarcus Beasley (42,83)"
"match","July 12, 2005  D  0-0  Costa Rica        "," 15211  Foxboro, MA, USA (Gold Cup ’05)"
"match","July 09, 2005  W  2-0  Canada            "," 15109  Seattle, WA, USA (Gold Cup ’05)   (O.G.), Donovan (90)"
"match","July 07, 2005  W  4-1  Cuba              "," 15831  Seattle, WA, USA (Gold Cup ‘05)   Dempsey 44, Donovan 87, 91, Beasley 90 ; Cuba: More 18 "
"match","June 08, 2005  W  3-0  Panama            "," 17000  Panama City, Panama (WCQ’06)   Bocanegra (6), Donovan (20), McBride (40) "
"match","June 04, 2005  W  3-0  Costa Rica        "," 40586  Salt Lake City, UT, USA (WCQ’06)   Donovan (6, 63), McBride (87) "
"match","May 28, 2005  L  1-2  England           "," 47637  Chicago, IL, USA   Dempsey (79)"
"match","March 30, 2005  W  2-0  Guatemala         "," 31465  Birmingham, AL, USA (WCQ’06)   Johnson (11), Ralston (71)"
"match","March 27, 2005  L  1-2  Mexico            ","110000  Mexico City, Mexico (WCQ’06)   Lewis (59)"
"match","March 19, 2005  W  1-0  Honduras          ","  9222  Albuquerque, NM, USA   Johnson (45)"
"match","March 09, 2005  W  3-0  Colombia          ","  7086  Fullerton, CA, USA   Noonan (25), Marshall (33), Mathis (66)"
"match","February 09, 2005  W  2-1  Trinidad & Tobago "," 18000  Port of Spain, Trinidad (WCQ’06)   Johnson (30), Lewis (54)"
"match","November 17, 2004  D  1-1  Jamaica           ","  9088  Columbus, OH, USA (WCQ’06)   Johnson (15)"
"match","October 13, 2004  W  6-0  Panama            "," 19793  Washington, DC, USA (WCQ’06)   Landon Donovan (21,57), Ed Johnson (71,85,88), O.G. (90) "
"match","October 09, 2004  W  2-0  El Salvador       "," 20000  San Salvador, El Salvador (WCQ’06)   McBride (29), Johnson (76)"
"match","September 08, 2004  D  1-1  Panama            "," 14200  Panama City, Panama (WCQ’06)   Jones (92)"
"match","September 04, 2004  W  2-0  El Salvador       "," 25266  Foxboro, MA, USA (WCQ’06)   Ching (5), Donovan 69)"
"match","August 18, 2004  D  1-1  Jamaica           "," 27000  Kingston, Jamaica (WCQ’06)   Ching (89)"
"match","July 11, 2004  D  1-1  Poland            "," 39529  Chicago, IL, USA   Boconegra (88)"
"match","June 20, 2004  W  3-2  Grenada           "," 15267  St. George’s, Grenada (WCQ’06)   Donovan (6), Wolff (19), Beasley (77)"
"match","June 13, 2004  W  3-0  Grenada           ","  9137  Columbus, OH, USA (WCQ’06)   Beasley (46,71), Vanney (92)"
"match","June 02, 2004  W  4-0  Honduras          "," 11553  Foxboro, MA, USA   McBride (22,37), Lewis (77), Sanneh (81) "
"match","April 28, 2004  W  1-0  Mexico            "," 45048  Dallas, TX, USA"
"match","March 31, 2004  W  1-0  Poland            "," 10000  Plock, Poland   Beasley (26)"
"match","March 13, 2004  D  1-1  Haiti             ","  8714  Miami, FL, USA   Califf (94)"
"match","February 18, 2004  L  0-1  Netherlands       "," 27000  Amsterdam, Neth."
"match","January 18, 2004  D  1-1  Denmark           "," 10461  Carson, CA, USA   Donovan (77-PK)"
"match","July 26, 2003  W  3-2  Costa Rica        ","  5093  Miami, FL, USA (GC ’03)   Bocanegra (29), Stewart (56), Convey (67)"
"match","July 23, 2003  L  1-2  Brazil            "," 35211  Miami, FL, USA (GC ’03)   Boconegra (62)"
"match","July 19, 2003  W  5-0  Cuba              "," 15627  Foxboro, MA, USA (GC ’03)   Donovan (22, 26, 55, 76), Ralston (42)"
"match","July 14, 2003  W  2-0  Martinique        ","  8780  Foxboro, MA, USA (GC ’03)   McBride (39,43)"
"match","July 12, 2003  W  2-0  El Salvador       "," 33652  Foxboro, MA, USA (GC ’03)   Lewis (28), McBride (76)"
"match","July 06, 2003  W  2-0  Paraguay          "," 14103  Columbus, OH, USA   Donovan (12), Stewart (95)"
"match","June 23, 2003  D  0-0  Cameroon          "," 19206  Lyon, France (Conf. Cup)"
"match","June 21, 2003  L  0-1  Brazil            ","        Lyon, France (Conf. Cup)"
"match","June 19, 2003  L  1-2  Turkey            "," 16944  St. Etienne, France (Conf. Cup)   Beasley (36)"
"match","June 08, 2003  W  2-1  New Zealand       ","  9116  Richmond, VA, USA   Klein (20), Kirovski (65)"
"match","May 26, 2003  W  2-0  Wales             "," 12282  San Jose, CA, USA   Donovan (41-pk), Lewis (59)"
"match","May 08, 2003  D  0-0  Mexico            "," 69582  Houston, TX, USA"
"match","March 29, 2003  W  2-0  Venezuela         "," 17819  Seattle, WA, USA   Kirovski (53), Donovan (77)"
"match","February 12, 2003  W  2-1  Jamaica           "," 27000  Kingston, Jamaica   Bocanegra (11), Klein (12); Jamaica: Lowe (52)"
"match","February 08, 2003  L  0-1  Argentina         "," 27196  Miami, FL, USA"
"match","January 18, 2003  W  4-0  Canada            ","  6549  Ft. Lauderdale, FL, USA   Bocanegra (6), Mathis (30), Klein (31), Ralston (61)"
"match","November 17, 2002  W  2-0  El Salvador       "," 15390  Washington, DC, USA   Olsen (31), Victorine (60)"
"match","June 21, 2002  L  0-1  Germany           "," 37337  Ulsan, South Korea (WC’02)"
"match","June 17, 2002  W  2-0  Mexico            "," 36380  Jeonju, South Korea (WC’02)   McBride (8), Donovan (65)"
"match","June 14, 2002  L  1-3  Poland            "," 26482  Daejeon, South Korea (WC’02)   Donovan (24)"
"match","June 10, 2002  D  1-1  South Korea       "," 60778  Daegu, South Korea (WC’02)   Mathis (24)"
"match","June 05, 2002  W  3-2  Portugal          "," 37306  Suwon, South Korea (WC’02)   O’Brien (4), o.g. (29), McBride (36)"
"match","May 19, 2002  L  0-2  Netherlands       "," 36778  Foxboro, MA, USA (RTK ’02)"
"match","May 16, 2002  W  5-0  Jamaica           "," 30569  East Rutherford, NJ, USA (RTK ’02)   Wolff (32,60), Mathis (48), Donovan (84), Beasley (92)"
"match","May 12, 2002  W  2-1  Uruguay           "," 30413  Washington, DC, USA (RTK ’02)   Sanneh (6), Beasley (40)"
"match","April 17, 2002  L  1-2  Ireland           "," 39000  Dublin, Ireland   Pope (34)"
"match","April 03, 2002  W  1-0  Mexico            "," 48476  Denver, CO, USA   Mathis (67)"
"match","March 27, 2002  L  2-4  Germany           "," 29000  Rostock, Germany   Mathis (17,72)"
"match","March 10, 2002  W  1-0  Ecuador           "," 24133  Birmingham, AL, USA   Lewis (21)"
"match","March 02, 2002  W  4-0  Honduras          "," 38534  Seattle, WA, USA   Mathis (14,59), Donovan (44,67)"
"match","February 13, 2002  L  0-1  Italy             "," 25493  Catania, Italy"
"match","February 02, 2002  W  2-0  El Salvador       "," 14432  Pasadena, CA, USA (GC ’02)   Wolff 37, Agoos 63"
"match","January 30, 2002  W  0-0  Canada  (4-2 PK)  ","  7241  Pasadena, CA, USA (GC ’02)"
"match","January 27, 2002  W  4-0  El Salvador       "," 31628  Pasadena, CA, USA (GC ’02)   McBride (11,12,21), Razov (74)"
"match","January 21, 2002  W  1-0  Cuba              "," 31244  Pasadena, CA, USA (GC ’02)   McBride (21-pk)"
"match","January 19, 2002  W  2-1  South Korea       "," 42117  Pasadena, CA, USA (GC ’02)   Donovan (35), Beasley (90)"
"match","December 09, 2001  L  0-1  South Korea       "," 42256  Seogwipo, South Korea"
"match","November 11, 2001  D  0-0  Trinidad & Tobago ","  6000  Port of Spain, Trin/Tob (WCQ '02)"
"match","October 07, 2001  W  2-1  Jamaica           "," 40483  Foxboro, MA, USA (WCQ '02)   Moore (14, 81-pk)"
"match","September 05, 2001  L  0-2  Costa Rica        "," 30000  San Jose, Costa Rica (WCQ '02)"
"match","September 01, 2001  L  2-3  Honduras          "," 54282  Washington, DC, USA (WCQ '02)   Stewart (7,83)"
"match","July 01, 2001  L  0-1  Mexico            ","100000  Mexico City, Mexico(WCQ '02)"
"match","June 20, 2001  W  2-0  Trinidad & Tobago "," 31211  Foxboro, MA, USA (WCQ '02)   Razov (2), Stewart (20)"
"match","June 16, 2001  D  0-0  Jamaica           "," 35000  Kingston, Jamaica (WCQ '02)"
"match","June 07, 2001  D  0-0  Ecuador           "," 12572  Columbus, OH, USA"
"match","April 25, 2001  W  1-0  Costa Rica        "," 37391  Kansas City, MO, USA (WCQ '02)   Wolff (70)"
"match","March 28, 2001  W  2-1  Honduras          "," 46000  San Pedro Sula, Honduras (WCQ '02)   Stewart (33), Mathis (87)"
"match","March 03, 2001  L  1-2  Brazil            "," 45387  Pasadena, CA, USA   Mathis (40)"
"match","February 28, 2001  W  2-0  Mexico            "," 24624  Columbus, OH, USA (WCQ '02)   Wolff (47), Stewart (87)"
"match","February 03, 2001  L  0-1  Colombia          "," 14169  Miami, FL, USA"
"match","January 27, 2001  W  2-1  China             ","  8906  Oakland, CA, USA   McBride (27), Own Goal (46)"
"match","November 15, 2000  W  4-0  Barbados          ","  4000  Waterford, Barbados (WCQ '02)   Mathis (63), Stewart (73), Jones (77), Razov (93)"
"match","October 25, 2000  W  2-0  Mexico            "," 51072  Los Angeles, CA, USA   Donovan (50), Wolff (78)"
"match","October 11, 2000  D  0-0  Costa Rica        "," 24330  Columbus, OH, USA (WCQ '02)"
"match","September 03, 2000  W  1-0  Guatemala         "," 51556  Washington, DC, USA (WCQ '02)   McBride (72)"
"match","August 16, 2000  W  7-0  Barbados          "," 18334  Foxboro, MA, USA (WCQ '02)   Pope (13), McBride (18), Moore (45, 82), O'Brien (46), Ramos (72),   Stewart (74)"
"match","July 23, 2000  L  1-2  Costa Rica        "," 28000  San Jose, Costa Rica (WCQ '02)   Stewart (65)"
"match","July 16, 2000  D  1-1  Guatemala         ","  9500  Mazatenango, Guatemala (WCQ '02)   Razov (46)"
"match","June 11, 2000  W  3-0  Mexico            "," 45008  East Rutherford, NJ, USA (USA 2000)   McBride (33), Hedjuk (79), Razov (85)"
"match","June 06, 2000  D  1-1  Ireland           "," 16319  Foxboro, MA, USA (USA 2000)   Razov (68)"
"match","June 03, 2000  W  4-0  South Africa      "," 16570  Washington, DC, USA (USA 2000)   Jones (36,43), Reyna (65), Stewart (68)"
"match","April 26, 2000  L  0-2  Russia            "," 12500  Moscow, Russia"
"match","March 12, 2000  D  1-1  Tunisia           "," 21637  Birmingham, AL, USA   Olsen (92)"
"match","February 19, 2000  D  2-2  Colombia (1-2 PK) "," 32972  Miami, FL, USA (GC 2000)   McBride (20), Armas (51)"
"match","February 16, 2000  W  1-0  Peru              "," 36004  Miami, FL, USA (GC 2000)   Jones (59)"
"match","February 12, 2000  W  3-0  Haiti             "," 49513  Miami, FL, USA (GC 2000)   Kirovski (18), Wynalda (55-pk), Jones (89)"
"match","January 29, 2000  W  2-1  Chile             "," 11000  Coquimbo, Chile   Lewis (55), Jones (88)"
"match","January 16, 2000  D  1-1  Iran              "," 49212  Pasadena, CA, USA   Armas (48)"
"match","November 17, 1999  L  1-2  Morocco           "," 18000  Marrakesh, Morocco   Wynalda (19)"
"match","September 08, 1999  D  2-2  Jamaica           "," 20000  Kingston, Jamaica   Kris (5), Albright (80)"
"match","August 03, 1999  W  2-0  Saudi Arabia      "," 35000  Guadalajara, Mex. (Conf. Cup)   Bravo (28), McBride (80)"
"match","August 01, 1999  L  0-1  Mexico            "," 80000  Mexico City, Mex. (Conf. Cup)"
"match","July 30, 1999  W  2-0  Germany           "," 53000  Guadalajara, Mex. (Conf. Cup)   Olson (24), Bravo (50)"
"match","July 28, 1999  L  0-1  Brazil            "," 54000  Guadalajara, Mex. (Conf. Cup)"
"match","July 24, 1999  W  2-1  New Zealand       "," 60000  Guadalajara, Mex. (Conf. Cup)   McBride 26, Kirovski 57"
"match","July 17, 1999  W  2-1  Derby County      "," 20376  Denver, CO, USA (Exh.)   Lewis 64, Olsen 76"
"match","June 13, 1999  W  1-0  Argentina         "," 40119  Washington, DC, USA   Moore (87)"
