"post_type","post_title","position","birthdate","hometoewn","jersey_number","caps","goals","last_match","bio"
"player","Marcelo Balboa","Defense","08/08/1967","","",128,13,"","1988-2000"
"player","DaMarcus Beasley","Defense","05/24/1982","Ft. Wayne, IN","Houston Dynamo",121,17,"November 14, 2014","",
"player","Kyle Beckerman","Midfield","04/23/1982","Crofton, MD","Real Salt Lake",42,1,"November 18, 2014","",
"player","Alejandro Bedoya","Midfield","04/29/1987","Weston, FL","Nantes (France)",37,2,"November 18, 2014","2010-",
"player","Tony Beltran","DF","October 11, 1987","","Real Salt Lake",3,0,"April 2, 2014","",
"player","Matt Besler","Defense","02/11/1987","Overland Park, KS","Sporting Kansas City",24,0,"","",
"player","Steve Birnbaum","Defense","1/23/1991","","D.C. United",1,0, "02/08/2015","2015-"
"player","Carlos Bocanegra","Defense","05/25/1979","","",110,14,"","2001-2012"
"player","Alex Bono","GK","April 25, 1994","","",0,0,"Toronto FC","January 28, 2015","",
"player","Terrence Boyd","Forward","February 16, 1991","","Germany RB Leipzig",13,0,"July 1 2014","",
"player","John Brooks","Defense","01/28/1993","Berlin, Germany","Hertha Berlin (Germany)",8,1,"November 14, 2014","",
"player","Paul Caligiuri","Defense","03/09/1964","","",110,5,"","1984-1997"
"player","Geoff Cameron","Defense","07/11/1985","Attleboro, MA","Stoke City (England)",31,1,"","",
"player","Edgar Castillo","DF","October 8, 1986","","Mexico Atlas",16,0,"March 5, 2014","",
"player","Timothy Chandler","Defense","","","",17,0,"November 18, 2014","",
"player","Joe Corona","MF","July 9, 1990","","Mexico Tijuana",14,2,"October 14, 2014","",
"player","Cody Cropper","GK","February 16, 1993","","England Southampton",0,0,"September 3, 2014","",
"player","Brad Davis","Midfield","11/8/1981","St. Charles, MO","Houston Dynamo",17,0,"July 1 2014","",
"player","Christian Dean","DF","March 14, 1993","","Canada Vancouver Whitecaps FC",0,0,"January 28, 2015","",
"player","Mix Diskerud","Midfield","10/02/1990","Oslo, Norway","New York City",26,5,"","",
"player","Maurice Edu","MF","April 18, 1986","","Philadelphia Union",46,1,"July 1 2014","",
"player","Brad Evans","DF","April 20, 1985","","Seattle Sounders FC",17,1,"January 28, 2015","",
"player","Dennis Flores","MF","September 21, 1993","","Mexico León",0,0,"January 28, 2015","",
"player","Greg Garza","DF","August 16, 1991","","Mexico Tijuana",5,0,"November 18, 2014","",
"player","Luis Gil","Midfield","1/14/1993","","Real Salt Lake","","","02/08/2015","2015-"
"player","Omar Gonzalez","Defense","10/11/1988","Dallas, TX","LA Galaxy",24,0,"October 10, 2014","",
"player","Clarence Goodson","DF","May 17, 1982","","San Jose Earthquakes",46,5,"July 1 2014","",
"player","Julian Green","Midfield","June 06, 1995","Tampa, FL","Bayern Munich (Germany)",5,1,"November 18, 2014","",
"player","Brad Guzan","Goal Keeper","09/09/1984","Homer Glen, IL","Aston Villa (England)",28,0,"November 14, 2014","",
"player","Joe Gyau","Forward","September 16, 1992","","Germany Borussia Dortmund II",2,0,"October 10, 2014","",
"player","Bill Hamid","GK","November 25, 1990","","D.C. United",2,0,"November 18, 2014","",
"player","Matt Hedges","Defense","4/01/1990","","FC Dallas","","","02/08/2015","2015-"
"player","Tim Howard","Goal Keeper","03/06/1979","North Brunswick, NJ","Everton (England)",104,0,"2014","",
"player","Emerson Hyndman","MF","April 9, 1996","","England Fulham",1,0,"September 3, 2014","",
"player","Miguel Ibarra","Midfield","3/15/1993","","Minnesota United",1,0, "02/08/2015","2015-"
"player","Aron Jóhannsson","Forward","11/10/1990","Mobile, AL","AZ Alkmaar (Netherlands)",9,2,"July 1 2014","",
"player","Eddie Johnson","Forward","03/31/1984","","D.C. United",63,19,"April 2, 2014","2004-present"
"player","Fabian Johnson","Defense","12/11/1987","Munich, Germany","Borussia Moenchengladbach (Germany)",29,1,"","",
"player","Sean Johnson","Goal Keeper","5/31/1989","","Chicago Fire",4,0,"","2015-",
"player","Cobi Jones","Midfield","June 16, 1970","Detroit, MI","LA Galaxy",164,15,"","1992-2004"
"player","Jermaine Jones","Midfield","11/03/1981","Chicago, IL","New England Revolution",49,3,"","",
"player","Kasey Keller","Goal Keeper","11/29/1969","","",102,0,"","1990-2007"
"player","Jon Kempin","Goal Keeper","04/08/1993","","Sporting Kansas City",0,0,"","2015-"
"player","Perry Kitchen","Defense","2/29/1992","","D.C. United",0,0, "02/08/2015","2015-"
"player","Sacha Kljestan","MF","September 9, 1985","","New York Red Bulls",46,4,"March 5, 2014","",
"player","Alexi Lalas","Defense","June 01, 1970","","",96,9,"","1991-1998"
"player","Brian McBride","Forward","June 19, 1972","","",95,30,"","1993-2006"
"player","Tony Meola","Goal Keeper","02/21/1969","","",100,0,"","1988-2002"
"player","Joe-Max Moore","Forward","02/23/1971","","",100,24,"","1992-2002"
"player","Alfredo Morales","MF","May 12, 1990","","Germany Ingolstadt 04",6,0,"November 18, 2014","",
"player","Julio Morales","Forward","December 19, 1993","","Mexico Tepic",0,0,"January 28, 2015","",
"player","Jordan Morris","Forward","October 26, 1994","","Stanford University",1,0,"November 18, 2014","",
"player","Bruce Murray","Midfield","01/25/1966","","",85,21,"","1985-1993"
"player","Lee Nguyen","Midfield","0/07/1986","","New England Revolution",5,0, "02/08/2015","2015-"
"player","Shane O\"Neill","Defense","9/02/1993","","Colorado Rapids",0,0, "02/08/2015","2015-"
"player","Oguchi Onyewu","DF","May 13, 1982","","England Charlton Athletic",69,6,"March 5, 2014","",
"player","Michael Orozco","DF","February 7, 1986","","Mexico Puebla",13,3,"October 14, 2014","",
"player","Will Packwood","DF","May 21, 1993","","England Birmingham City",0,0,"March 5, 2014","",
"player","Michael Parkhurst","DF","January 24, 1984","","Columbus Crew",25,0,"July 1 2014","",
"player","Marc Pelosi","MF","June 14, 1994","","England Liverpool",0,0,"January 28, 2015","",
"player","Tim Ream","DF","October 5, 1987","","England Bolton Wanderers",12,0,"November 18, 2014","",
"player","Claudio Reyna","Midfield","07/20/1973","Livingston, New Jersey","",111,8,"","1994-2006"
"player","Nick Rimando","Goal Keeper","June 17, 1979","Montclair, CA","Real Salt Lake",14,0,"","",
"player","Rubio Rubin","Forward","March 1, 1996","","",2,0, "November 18, 2014","",
"player","Dillon Serna","Midfield","3/25/1994","","Colorado Rapids",0,0, "02/08/2015","2015-"
"player","Brek Shea","Midfield","2/28/1990","","Orlando City",28,3, "02/08/2015","2015-"
"player","Oscar Sorto","DF","August 13, 1994","","LA Galaxy",0,0,"January 28, 2015","",
"player","Jonathan Spector","DF","March 1, 1986","","England Birmingham City",34,0,"March 5, 2014","",
"player","Earnie Stewart","Midfield","03/28/1969","","",101,17,"","1990-2004"
"player","Wil Trapp","Midfield","1/15/1993","","Columbus Crew",1,0, "02/08/2015","2015-"
"player","Daniel Williams","MF","March 8, 1989","","England Reading",13,0,"March 5, 2014","",
"player","Chris Wondolowski","Forward","01/28/1983","Danville, CA","San Jose Earthquakes",26,9,"","",
"player","Bobby Wood","Forward","1/15/1992","","Erzgebirge Aue, Germany",6,0, "02/08/2015","2015-"
"player","Eric Wynalda","Forward","June 09, 1969","","",106,34,"","1990-2000"
"player","DeAndre Yedlin","Defense","07/09/1993","Seattle, WA","Tottenham Hotspur",7,0,"","",
"player","Gyasi Zardes","Forward","9/02/1991","","LA Galaxy",1,0, "02/08/2015","2015-"
